1
100
25/5 10/10
79/1 2/1
92/1 11/1
99/1 29/1
72/1 45/1
70/1 49/1
82/1 65/1
63/1 70/1
96/1 72/1
86/1 73/1
61/1 80/1
96/1 90/1
65/1 94/1
97/1 108/1
62/1 121/1
86/1 138/1
79/1 155/1
70/1 165/1
77/1 174/1
99/1 182/1
76/1 202/1
84/1 211/1
67/1 217/1
73/1 220/1
87/1 231/1
95/1 250/1
77/1 252/1
88/1 266/1
98/1 282/1
87/1 301/1
61/1 313/1
96/1 332/1
100/1 337/1
80/1 353/1
65/1 363/1
96/1 375/1
69/1 394/1
100/1 401/1
96/1 406/1
61/1 420/1
95/1 436/1
92/1 439/1
77/1 458/1
76/1 472/1
87/1 474/1
73/1 493/1
66/1 513/1
97/1 518/1
96/1 534/1
73/1 547/1
26/1 555/1
4/1 552/1
18/1 548/1
23/1 547/1
32/1 545/1
26/1 539/1
19/1 534/1
20/1 529/1
27/1 523/1
1/1 522/1
21/1 519/1
31/1 515/1
4/1 508/1
23/1 509/1
26/1 506/1
23/1 506/1
34/1 499/1
18/1 500/1
6/1 501/1
23/1 496/1
24/1 490/1
14/1 488/1
24/1 485/1
20/1 477/1
4/1 477/1
15/1 474/1
16/1 469/1
2/1 470/1
16/1 466/1
2/1 467/1
10/1 463/1
35/1 462/1
34/1 462/1
13/1 455/1
12/1 450/1
27/1 445/1
34/1 445/1
20/1 438/1
17/1 438/1
11/1 438/1
3/1 433/1
28/1 434/1
13/1 426/1
21/1 418/1
5/1 416/1
13/1 411/1
30/1 406/1
1/1 403/1
18/1 399/1
14/1 399/1
