5/1 1/1
95/1 114/1
70/1 171/1
96/1 225/1
100/1 293/1
92/1 342/1
96/1 397/1
85/1 465/1
79/1 532/1
81/1 600/1
95/1 664/1
61/1 723/1
95/1 774/1
88/1 832/1
76/1 894/1
66/1 954/1
76/1 1086/1
69/1 1137/1
73/1 1205/1
95/1 1270/1
92/1 1328/1
63/1 1392/1
69/1 1453/1
86/1 1511/1
85/1 1560/1
77/1 1613/1
83/1 1664/1
99/1 1714/1
72/1 1776/1
95/1 1842/1
98/1 1903/1
69/1 1956/1
68/1 2013/1
100/1 2135/1
68/1 2194/1
83/1 2244/1
75/1 2348/1
73/1 2407/1
96/1 2456/1
75/1 2522/1
84/1 2576/1
80/1 2631/1
71/1 2685/1
96/1 2741/1
98/1 2794/1
65/1 2847/1
69/1 2952/1
97/1 3016/1
95/1 3075/1
78/1 3136/1
94/1 3188/1
69/1 3254/1
74/1 3306/1
79/1 3374/1
82/1 3436/1
80/1 3553/1
98/1 3617/1
95/1 3681/1
72/1 3740/1
92/1 3796/1
94/1 3864/1
72/1 3922/1
76/1 3989/1
93/1 4042/1
91/1 4096/1
100/1 4163/1
84/1 4216/1
95/1 4278/1
84/1 4342/1
87/1 4391/1
68/1 4457/1
88/1 4522/1
65/1 4584/1
92/1 4640/1
65/1 4692/1
76/1 4750/1
75/1 4817/1
80/1 4867/1
77/1 4927/1
66/1 4995/1
89/1 5060/1
90/1 5112/1
61/1 5164/1
97/1 5229/1
91/1 5292/1
77/1 5350/1
65/1 5414/1
87/1 5471/1
61/1 5537/1
69/1 5602/1
93/1 5654/1
87/1 5710/1
62/1 5776/1
89/1 5835/1
61/1 5890/1
70/1 5947/1
83/1 6014/1
85/1 6078/1
75/1 6139/1
92/1 6192/1
88/1 6260/1
95/1 6320/1
87/1 6369/1
92/1 6424/1
90/1 6492/1
84/1 6555/1
75/1 6605/1
74/1 6670/1
99/1 6732/1
79/1 6791/1
80/1 6847/1
71/1 6910/1
78/1 6973/1
62/1 7025/1
68/1 7086/1
89/1 7141/1
84/1 7204/1
70/1 7262/1
87/1 7311/1
96/1 7375/1
93/1 7434/1
82/1 7489/1
72/1 7552/1
75/1 7602/1
89/1 7663/1
84/1 7731/1
72/1 7794/1
94/1 7844/1
81/1 7907/1
65/1 7963/1
79/1 8016/1
66/1 8066/1
99/1 8129/1
71/1 8182/1
68/1 8249/1
93/1 8317/1
61/1 8379/1
66/1 8432/1
61/1 8493/1
98/1 8550/1
65/1 8600/1
80/1 8657/1
76/1 8719/1
90/1 8783/1
100/1 8837/1
76/1 8896/1
71/1 8945/1
72/1 8994/1
96/1 9057/1
78/1 9108/1
65/1 9166/1
94/1 9219/1
75/1 9286/1
71/1 9408/1
95/1 9464/1
80/1 9519/1
76/1 9574/1
72/1 9639/1
82/1 9698/1
73/1 9807/1
70/1 9872/1
85/1 9937/1
91/1 9987/1
63/1 10094/1
83/1 10151/1
74/1 10203/1
76/1 10268/1
82/1 10318/1
84/1 10379/1
68/1 10438/1
79/1 10505/1
87/1 10565/1
82/1 10633/1
81/1 10695/1
84/1 10745/1
70/1 10813/1
61/1 10941/1
70/1 11004/1
75/1 11065/1
95/1 11121/1
76/1 11179/1
64/1 11236/1
81/1 11362/1
69/1 11421/1
82/1 11476/1
79/1 11601/1
80/1 11651/1
67/1 11709/1
61/1 11773/1
73/1 11834/1
75/1 11885/1
79/1 11942/1
67/1 12003/1
69/1 12065/1
83/1 12125/1
94/1 12191/1
83/1 12253/1
80/1 12304/1
96/1 12353/1
70/1 12410/1
95/1 12478/1
63/1 12541/1
81/1 12590/1
96/1 12651/1
77/1 12719/1
97/1 12770/1
74/1 12833/1
64/1 12893/1
87/1 12953/1
85/1 13002/1
75/1 13068/1
78/1 13125/1
83/1 13191/1
72/1 13257/1
98/1 13318/1
79/1 13371/1
92/1 13432/1
91/1 13492/1
73/1 13558/1
76/1 13615/1
69/1 13675/1
64/1 13726/1
86/1 13793/1
62/1 13912/1
73/1 13976/1
80/1 14026/1
65/1 14077/1
79/1 14133/1
72/1 14190/1
80/1 14248/1
93/1 14307/1
62/1 14370/1
74/1 14433/1
92/1 14608/1
66/1 14673/1
88/1 14725/1
80/1 14782/1
94/1 14834/1
97/1 14895/1
66/1 14956/1
67/1 15008/1
100/1 15075/1
92/1 15142/1
100/1 15206/1
81/1 15256/1
82/1 15310/1
68/1 15375/1
66/1 15437/1
81/1 15502/1
84/1 15568/1
65/1 15619/1
61/1 15671/1
92/1 15733/1
100/1 15789/1
99/1 15842/1
72/1 15907/1
80/1 15966/1
75/1 16018/1
81/1 16073/1
71/1 16122/1
100/1 16183/1
86/1 16250/1
81/1 16309/1
92/1 16358/1
79/1 16413/1
70/1 16531/1
98/1 16580/1
65/1 16645/1
80/1 16696/1
93/1 16755/1
99/1 16816/1
93/1 16870/1
76/1 16931/1
64/1 16985/1
65/1 17036/1
70/1 17094/1
61/1 17153/1
72/1 17205/1
91/1 17304/1
64/1 17372/1
72/1 17421/1
92/1 17485/1
98/1 17544/1
70/1 17602/1
93/1 17670/1
94/1 17723/1
97/1 17772/1
79/1 17889/1
94/1 17945/1
82/1 18007/1
70/1 18060/1
78/1 18113/1
66/1 18169/1
85/1 18218/1
99/1 18282/1
61/1 18340/1
63/1 18398/1
92/1 18458/1
72/1 18510/1
64/1 18575/1
100/1 18643/1
98/1 18707/1
100/1 18771/1
88/1 18832/1
95/1 18881/1
79/1 18946/1
77/1 19002/1
81/1 19064/1
87/1 19129/1
74/1 19182/1
85/1 19236/1
74/1 19291/1
88/1 19344/1
91/1 19403/1
80/1 19465/1
87/1 19532/1
85/1 19584/1
66/1 19636/1
91/1 19689/1
69/1 19743/1
85/1 19810/1
82/1 19871/1
66/1 19933/1
90/1 20052/1
68/1 20114/1
76/1 20163/1
93/1 20226/1
77/1 20277/1
85/1 20341/1
68/1 20393/1
66/1 20453/1
87/1 20512/1
68/1 20578/1
95/1 20634/1
86/1 20749/1
63/1 20800/1
61/1 20856/1
66/1 20914/1
70/1 20975/1
96/1 21040/1
93/1 21096/1
72/1 21145/1
62/1 21201/1
88/1 21250/1
91/1 21311/1
92/1 21377/1
63/1 21436/1
87/1 21493/1
98/1 21554/1
99/1 21605/1
80/1 21666/1
65/1 21734/1
100/1 21792/1
61/1 21841/1
74/1 21897/1
77/1 21951/1
67/1 22007/1
98/1 22075/1
76/1 22128/1
100/1 22194/1
77/1 22246/1
75/1 22305/1
74/1 22366/1
91/1 22426/1
97/1 22483/1
86/1 22547/1
81/1 22598/1
87/1 22658/1
84/1 22726/1
64/1 22792/1
99/1 22841/1
95/1 22895/1
68/1 22956/1
97/1 23019/1
69/1 23084/1
73/1 23150/1
72/1 23217/1
88/1 23270/1
64/1 23329/1
88/1 23397/1
99/1 23459/1
68/1 23519/1
96/1 23581/1
75/1 23648/1
65/1 23715/1
68/1 23767/1
99/1 23818/1
69/1 23884/1
87/1 23949/1
65/1 24012/1
93/1 24069/1
72/1 24121/1
79/1 24181/1
81/1 24231/1
62/1 24287/1
74/1 24347/1
73/1 24396/1
95/1 24452/1
66/1 24502/1
79/1 24561/1
80/1 24627/1
74/1 24685/1
80/1 24747/1
99/1 24813/1
70/1 24876/1
93/1 24939/1
63/1 24991/1
90/1 25053/1
87/1 25111/1
95/1 25167/1
70/1 25235/1
72/1 25285/1
80/1 25339/1
82/1 25393/1
67/1 25453/1
96/1 25519/1
69/1 25568/1
79/1 25617/1
74/1 25683/1
78/1 25734/1
64/1 25792/1
77/1 25847/1
66/1 25902/1
72/1 25962/1
68/1 26016/1
72/1 26081/1
98/1 26132/1
99/1 26197/1
88/1 26257/1
94/1 26312/1
63/1 26361/1
64/1 26420/1
81/1 26471/1
83/1 26533/1
92/1 26582/1
69/1 26645/1
70/1 26698/1
93/1 26753/1
83/1 26805/1
99/1 26864/1
62/1 26914/1
67/1 26981/1
84/1 27046/1
67/1 27097/1
68/1 27146/1
89/1 27204/1
73/1 27257/1
67/1 27382/1
79/1 27440/1
87/1 27495/1
84/1 27552/1
72/1 27609/1
95/1 27671/1
64/1 27724/1
84/1 27777/1
86/1 27828/1
95/1 27877/1
79/1 27927/1
94/1 28042/1
88/1 28096/1
68/1 28156/1
91/1 28218/1
79/1 28276/1
95/1 28329/1
96/1 28388/1
93/1 28443/1
79/1 28511/1
93/1 28561/1
64/1 28617/1
79/1 28667/1
90/1 28728/1
82/1 28785/1
66/1 28850/1
87/1 28917/1
69/1 28971/1
97/1 29027/1
90/1 29082/1
74/1 29150/1
96/1 29206/1
64/1 29258/1
78/1 29315/1
68/1 29433/1
62/1 29484/1
82/1 29552/1
76/1 29603/1
84/1 29661/1
63/1 29711/1
66/1 29760/1
80/1 29814/1
79/1 29870/1
74/1 29926/1
87/1 29981/1
67/1 30031/1
94/1 30081/1
65/1 30133/1
82/1 30188/1
91/1 30237/1
92/1 30289/1
76/1 30342/1
95/1 30401/1
27/1 30410/1
20/1 30353/1
40/1 30300/1
23/1 30252/1
31/1 30204/1
11/1 30153/1
8/1 30099/1
22/1 30046/1
18/1 29993/1
39/1 29941/1
19/1 29893/1
33/1 29845/1
1/1 29792/1
25/1 29739/1
21/1 29683/1
39/1 29628/1
29/1 29571/1
35/1 29523/1
31/1 29468/1
11/1 29418/1
13/1 29361/1
29/1 29309/1
7/1 29254/1
2/1 29201/1
12/1 29152/1
18/1 29099/1
12/1 29042/1
18/1 28993/1
39/1 28940/1
11/1 28886/1
25/1 28830/1
39/1 28781/1
2/1 28725/1
29/1 28676/1
21/1 28626/1
27/1 28569/1
38/1 28514/1
17/1 28465/1
39/1 28414/1
37/1 28364/1
4/1 28307/1
30/1 28259/1
31/1 28202/1
28/1 28152/1
39/1 28103/1
24/1 28049/1
23/1 27997/1
25/1 27947/1
28/1 27893/1
36/1 27845/1
37/1 27794/1
13/1 27741/1
2/1 27685/1
27/1 27636/1
15/1 27585/1
26/1 27528/1
23/1 27473/1
22/1 27420/1
27/1 27364/1
30/1 27312/1
12/1 27262/1
21/1 27208/1
37/1 27154/1
29/1 27102/1
25/1 27049/1
17/1 26999/1
30/1 26943/1
39/1 26893/1
10/1 26841/1
6/1 26788/1
8/1 26739/1
25/1 26689/1
39/1 26636/1
20/1 26584/1
14/1 26528/1
2/1 26476/1
14/1 26427/1
3/1 26370/1
19/1 26321/1
26/1 26271/1
39/1 26219/1
16/1 26162/1
15/1 26109/1
2/1 26056/1
30/1 26001/1
31/1 25944/1
4/1 25888/1
20/1 25838/1
5/1 25786/1
23/1 25733/1
2/1 25680/1
28/1 25629/1
38/1 25574/1
27/1 25522/1
32/1 25467/1
9/1 25411/1
37/1 25358/1
4/1 25302/1
31/1 25251/1
38/1 25202/1
15/1 25147/1
36/1 25092/1
8/1 25037/1
40/1 24988/1
24/1 24937/1
21/1 24881/1
26/1 24825/1
13/1 24771/1
16/1 24720/1
8/1 24670/1
29/1 24622/1
3/1 24566/1
36/1 24509/1
40/1 24452/1
19/1 24397/1
27/1 24344/1
29/1 24287/1
24/1 24232/1
27/1 24180/1
26/1 24124/1
23/1 24074/1
37/1 24022/1
12/1 23972/1
40/1 23916/1
17/1 23861/1
21/1 23805/1
39/1 23751/1
18/1 23694/1
17/1 23640/1
5/1 23588/1
